Id,iso,_1st Administrative Level Name,lat,lon
1,AFG,Badakhshan,37.03289451,71.45897704
2,AFG,Badghis,35.13975141,63.75269571
3,AFG,Baghlan,35.70536179,68.71387646
4,AFG,Balkh,36.64802772,67.1349565
5,AFG,Bamyan,34.7214186,67.18130711
6,AFG,Daykundi,33.75,66.25
7,AFG,Farah,32.60505249,62.30092007
8,AFG,Faryab,36.06923161,64.86355891
9,AFG,Ghazni,33.28918056,67.82718153
10,AFG,Ghor,34.18288093,64.88651998
11,AFG,Helmand,31.13985555,64.01518233
12,AFG,Herat,34.1907492,62.12151595
13,AFG,Jowzjan,36.81843686,65.86623081
14,AFG,Kabul,34.55905101,69.31089753
15,AFG,Kandahar,30.97302091,65.6991551
16,AFG,Kapisa,34.96281836,69.61836759
17,AFG,Khost,33.37244092,69.87197537
18,AFG,Kunar,34.96438276,71.11573116
19,AFG,Kunduz,36.83955567,68.75136147
20,AFG,Laghman,34.75615296,70.14318984
21,AFG,Logar,33.99334929,69.07781395
22,AFG,Nangarhar,34.27492383,70.46825118
23,AFG,Nimroz,30.80517458,62.31349237
24,AFG,Nuristan,35.4116003,70.7999086
25,AFG,Paktia,33.68051185,69.42430828
26,AFG,Paktika,32.47780476,68.75298467
27,AFG,Panjshir,35.4,70
28,AFG,Parwan,35.15501239,69.24545502
29,AFG,Samangan,35.94945886,67.74055976
30,AFG,Sar-e Pol,35.71464532,66.16863199
31,AFG,Takhar,36.7041762,69.77898618
32,AFG,Uruzgan,33.3661659,66.10932011
33,AFG,Wardak,34.3171528,68.2841705
34,AFG,Zabul,32.23606874,67.10499807
35,AGO,Bengo,-8.97773979,13.88141284
36,AGO,Benguela ,-12.93351178,13.98970632
37,AGO,Bié,-12.32493314,17.36258118
38,AGO,Cabinda,-5.044368962,12.47610973
39,AGO,Cuando-Cubango,-16.11853763,19.51642258
40,AGO,Cuanza Norte,-8.898622348,14.94596059
41,AGO,Cuanza Sul,-10.82598036,15.04484952
42,AGO,Cunene,-16.50351289,15.57852027
43,AGO,Huambo,-12.56917165,15.74563381
44,AGO,Huíla,-14.74288032,14.95009645
45,AGO,Luanda,-8.979736463,13.31045117
46,AGO,Lunda Norte,-8.650260757,19.49361618
47,AGO,Lunda Sul,-10.17617016,20.65587529
48,AGO,Malange,-9.49005596,16.95820485
49,AGO,Moxico,-12.87968185,21.04009647
50,AGO,Namibe,-15.49315705,12.72712795
51,AGO,Uíge,-7.024387674,15.47723245
52,AGO,Zaire,-6.608316408,13.56190942
53,ALA,Brändö,60.43309985,21.03353674
54,ALA,Eckerö,60.22174232,19.59357871
55,ALA,Finström,60.26097725,19.92493757
56,ALA,Föglö,60.0147108,20.46809085
57,ALA,Geta,60.37893426,19.85934825
58,ALA,Hammarland,60.22962885,19.75107967
59,ALA,Jomala,60.14232829,19.90991143
60,ALA,Kökar,59.91514005,20.97549006
61,ALA,Kumlinge,60.28172939,20.78357422
62,ALA,Lemland,60.0369349,20.12577272
63,ALA,Lumparland,60.11528539,20.26183862
64,ALA,Mariehamn,60.09757229,19.94666441
65,ALA,Saltvik,60.32156638,20.07252573
66,ALA,Sottunga,60.12757625,20.67509225
67,ALA,Sund,60.23601021,20.16886005
68,ALA,Vårdö,60.25287519,20.37528993
69,ALB,Berat,40.62850038,20.09077455
70,ALB,Dibër,41.58910536,20.24953368
71,ALB,Durrës,41.44733259,19.63037332
72,ALB,Elbasan,41.04003492,20.18651694
73,ALB,Fier,40.77463348,19.62052774
74,ALB,Gjirokastër,40.21366827,20.16963579
75,ALB,Korçe,40.62817153,20.66655818
76,ALB,Kukës,42.19458434,20.24004867
77,ALB,Lezhë,41.80140486,19.8454621
78,ALB,Shkodër,42.17678873,19.71942458
79,ALB,Tiranë,41.2685829,19.79393644
80,ALB,Vlorë,40.16312326,19.79246439
81,AND,Andorra la Vella,42.50630695,1.518866755
82,AND,Canillo,42.58025461,1.663696742
83,AND,Encamp,42.52239628,1.644479871
84,AND,Escaldes-Engordany,42.48719573,1.588915247
85,AND,La Massana,42.55345051,1.482940093
86,AND,Ordino,42.60618666,1.539182477
87,AND,Sant Julià de Lòria,42.46571572,1.493756429
88,ANT,Bonaire,12.18382812,-68.29014667
89,ANT,Curaçao,12.19337792,-68.97154397
90,ANT,Saba,17.63146926,-63.23752758
91,ANT,Sint Eustatius,17.49084234,-62.97628293
92,ANT,Sint Maarten,18.038232,-63.0623272
93,ARE,Abu Dhabi,23.6216083,53.87311464
94,ARE,Ajman,25.39468572,55.57575241
95,ARE,Dubay,24.92034302,55.38464798
96,ARE,Fujayrah,25.33626731,56.20667166
97,ARE,Neutral Zone,24.76859112,55.88734069
98,ARE,Ras Al Khaymah,25.41457631,56.04707563
99,ARE,Sharjah,25.1430538,55.78012772
100,ARE,Umm Al Qaywayn,25.47648678,55.74387442
101,ARG,Buenos Aires,-36.68352658,-60.56597848
102,ARG,Catamarca,-27.33218324,-66.95244446
103,ARG,Chaco,-26.3873749,-60.76674188
104,ARG,Chubut,-43.78962618,-68.52321679
105,ARG,Ciudad de Buenos Aires,-34.61767798,-58.44443578
106,ARG,Córdoba,-32.14121796,-63.79954784
107,ARG,Corrientes,-28.77651978,-57.80585864
108,ARG,Entre Ríos,-32.04603235,-59.20754038
109,ARG,Formosa,-24.89443474,-59.93434035
110,ARG,Jujuy,-23.3174642,-65.76219074
111,ARG,La Pampa,-37.13031089,-65.44833768
112,ARG,La Rioja,-29.67988549,-67.17829296
113,ARG,Mendoza,-34.62865147,-68.58667906
114,ARG,Misiones,-26.87487597,-54.64727705
115,ARG,Neuquén,-38.63562542,-70.11797893
116,ARG,Río Negro,-40.40681066,-67.22900135
117,ARG,Salta,-24.29608963,-64.81994129
118,ARG,San Juan,-30.86424008,-68.87496057
119,ARG,San Luis,-33.7674126,-66.02992996
120,ARG,Santa Cruz,-48.81270676,-69.9414415
121,ARG,Santa Fe,-30.70353808,-60.95070863
122,ARG,Santiago del Estero,-27.78222846,-63.25847654
123,ARG,Tierra del Fuego,-54.3320213,-67.40135144
124,ARG,Tucumán,-26.94379191,-65.36569828
125,ARM,Aragatsotn,40.4402597,44.14147656
126,ARM,Ararat,39.96320865,44.78730035
127,ARM,Armavir,40.14464457,44.02689602
128,ARM,Geghark'unki',40.3053022,45.34223778
129,ARM,Kotayk',40.40804395,44.70493509
130,ARM,Lake Sevan,40.50566095,45.03869434
131,ARM,Lorri,40.98175867,44.49234788
132,ARM,Shirak,40.82721816,43.86986818
133,ARM,Syunik',39.34615401,46.17348162
134,ARM,Tavush,40.90877938,45.12918416
135,ARM,Vayots' Dzor,39.77251784,45.45836596
136,ARM,Yerevan,40.17856978,44.53576186
137,ASM,Eastern,-14.27498435,-170.659312
138,ASM,Manu'a,-14.22844893,-169.5038125
139,ASM,Unorganized,-11.16724699,-170.9848319
140,ASM,Western,-14.3238448,-170.7687596
141,ATF,Amsterdam and Saint-Paul,-37.96560625,77.55169716
142,ATF,Crozet Archipelago,-46.35655079,51.61548346
143,ATF,Îles Éparses,-20.50308952,41.6628718
144,ATF,Kerguelen,-49.30126256,69.48490519
145,ATG,Barbuda,17.63399836,-61.79667746
146,ATG,Redonda,16.9385027,-62.34538793
147,ATG,Saint George,17.12454666,-61.79351921
148,ATG,Saint John,17.11280882,-61.83638184
149,ATG,Saint Mary,17.05178468,-61.85618049
150,ATG,Saint Paul,17.03339424,-61.77298288
151,ATG,Saint Peter,17.09271016,-61.7599544
152,ATG,Saint Philip,17.06544829,-61.70977931
