gadm3_id,name,ia_name,gadm2_id,iso,lat,lon
25665,Abricots,Abricots,15284,HTI,18.61668174,-74.31928517
25698,Acul du Nord,Acul-du-Nord,15294,HTI,19.64312069,-72.33078673
25658,Anse d'Hainaul,Anse d'Hainault,15282,HTI,18.4655441,-74.400489
25674,Anse Rouge,Anse Rouge,15286,HTI,19.64172643,-72.95492194
25731,Anse-à-Foleur,Anse-à-Foleur,15305,HTI,19.86107388,-72.62217463
25738,Anse-à-Galets,Anse-à-Galets,15307,HTI,18.81585542,-72.95200128
25772,Anse-à-Pitre,Anse-à-Pitre,15317,HTI,18.15301827,-71.78394063
25685,Anse-à-Veau,Anse-à-Veau,15290,HTI,18.44746011,-73.34793052
25751,Aquin,Aquin,15311,HTI,18.28057473,-73.22099802
25740,Arcahaie,Arcahaie,15308,HTI,18.88563974,-72.52810617
25766,Arniquet,Arniquet,15315,HTI,18.12205596,-73.91131324
25696,Bahon,Bahon,15293,HTI,19.46642666,-72.11885637
25723,Baie de Henne,Baie de Henne,15303,HTI,19.69194657,-73.19548098
25769,Bainet,Bainet,15316,HTI,18.2113691,-72.78902784
25687,Baraderes,Baradères,15290,HTI,18.49408041,-73.68412107
25704,Bas Limbé,Bas Limbé,15296,HTI,19.75996118,-72.3928336
25727,Bassin Bleu,Bassin Bleu,15304,HTI,19.7845443,-72.83724702
25661,Beaumont,Beaumont,15283,HTI,18.43801216,-73.96442916
25652,Belladère,Belladère,15280,HTI,18.86681727,-71.80686587
25773,Belle-Anse,Belle-Anse,15317,HTI,18.27792617,-72.0805751
25724,Bombardopolis,Bombardopolis,15303,HTI,19.68974778,-73.34356747
25666,Bonbon,Bonbon,15284,HTI,18.63188553,-74.24163127
25691,Borgne,Borgne,15292,HTI,19.79747836,-72.5725648
25655,Boucan-Carré,Boucan-Carré,15281,HTI,18.95385316,-72.14852598
25741,Cabaret,Cabaret,15308,HTI,18.77357836,-72.39502412
25754,Camp-Perrin,Camp-Perrin,15312,HTI,18.34844329,-73.86633173
25701,Cap-Haïtien,Cap-Haïtien,15295,HTI,19.74991567,-72.21759637
25717,Capotille,Capotille,15301,HTI,19.44444312,-71.70908994
25713,Caracol,Caracol,15300,HTI,19.68558862,-71.99947639
25720,Carice,Carice,15302,HTI,19.35620703,-71.81801008
25745,Carrefour,Carrefour,15310,HTI,18.46563875,-72.40842685
25752,Cavaillon,Cavaellon,15311,HTI,18.34161734,-73.63666228
25776,Cayes Jacmel,Cayes Jacmel,15318,HTI,18.2608635,-72.40003898
25646,Cerca La Source,Cerca La Source,15278,HTI,19.19872009,-71.74664142
25648,Cerca-Carvajal,Cerca-Carvajal,15279,HTI,19.26334545,-71.93646547
25667,Chambellan,Chambellan,15284,HTI,18.52160927,-74.33689965
25756,Chantal,Chantal,15312,HTI,18.2814137,-73.97205975
25761,Chardonnières,Chardonnières,15313,HTI,18.33566252,-74.10800696
999999992,Cité Soleil,Cité Soleil,15310,HTI,19.4333333,-72.7166667
25662,Corail,Corail,15283,HTI,18.50652343,-73.95656756
25733,Cornillon,Cornillon,15306,HTI,18.68448299,-71.92047212
25763,Côteaux,Côteaux,15314,HTI,18.24340642,-74.03197966
25770,Côtes-de-Fer,Côtes-de-Fer,15316,HTI,18.23047793,-72.94962285
25734,Croix-des Bouquets,Croix-des-Bouquets,15306,HTI,18.54033556,-72.18049725
25659,Dame Marie,Dame Marie,15282,HTI,18.56148676,-74.39722183
25746,Delmas,Delmas,15310,HTI,18.57118589,-72.2895578
25670,Desdunes,Desdunes,15285,HTI,19.31148843,-72.68882144
25671,Dessalines,Dessalines,15285,HTI,19.21921915,-72.45698817
25708,Dondon,Dondon,15298,HTI,19.52125457,-72.26854931
25677,Ennery,Ennery,15287,HTI,19.49072836,-72.48066308
25678,Estère,Estère,15287,HTI,19.35638882,-72.61940991
25779,Fond des Negres,Fond des Negres,15291,HTI,18.35,-73.23
25735,Fonds-Verettes,Fonds-Verrettes,15306,HTI,18.35263972,-71.83433642
25710,Fort-Liberté,Fort-Liberté,15299,HTI,19.57476827,-71.85211999
25736,Ganthier,Ganthier,15306,HTI,18.49869569,-72.00732483
25679,Gonaïves,Gonaïves,15287,HTI,19.4939625,-72.62308281
25672,Grande Saline,Grande Saline,15285,HTI,19.25840327,-72.70073806
25697,Grand Rivière du Nord,Grande-Rivière-du-Nord,15293,HTI,19.55267403,-72.16068749
25742,Grand-Goâve,Grand-Goâve,15309,HTI,18.35704173,-72.75637597
25774,Grand-Gosier,Grand-Gosier,15317,HTI,18.26251149,-71.89670892
25747,Grenier,Gressier,15310,HTI,18.50779466,-72.50729002
25675,Gros-Morne,Gros-Morne,15286,HTI,19.70079085,-72.70319438
25649,Hinche,Hinche,15279,HTI,19.14695168,-72.01564787
25757,Ile à Vache,Île à Vache,15312,HTI,18.07746095,-73.63503431
25777,Jacmel,Jacmel,15318,HTI,18.29569928,-72.52221558
25725,Jean-Rabel,Jean-Rabel,15303,HTI,19.83004567,-73.12386222
25668,Jérémie,Jérémie,15284,HTI,18.53618231,-74.16569018
25748,Kenscoff,Kenscoff,15310,HTI,18.40412529,-72.28625963
25682,La Chapelle,La Chapelle,15289,HTI,18.91063647,-72.33154824
25728,La Tortue,La Tortue,15304,HTI,20.0449224,-72.78912528
25771,La Vallée,La Vallée,15316,HTI,18.26112303,-72.71033639
25692,La Victoire,La Victoire,15292,HTI,19.35328918,-72.01927638
25653,Lascahobas,Lascahobas,15280,HTI,18.86938201,-71.94640185
25686,Asile,L'Asile,15290,HTI,18.37617676,-73.43929746
25743,Léogâne,Léogâne,15309,HTI,18.43906835,-72.58736767
25760,Anglais,Les Anglais,15313,HTI,18.35391989,-74.1836958
25755,Cayes,Les Cayes,15312,HTI,18.2993253,-73.76585423
25660,Irois,Les Irois,15282,HTI,18.40257786,-74.38691844
25705,Limbé,Limbé,15296,HTI,19.65794971,-72.40661517
25702,Limonade,Limonade,15295,HTI,19.66991444,-72.1071189
25650,Maïssade,Maïssade,15279,HTI,19.19023901,-72.17581543
25758,Maniche,Maniche,15312,HTI,18.33529349,-73.74838315
25778,Marigot,Marigot,15318,HTI,18.28661985,-72.29315547
25680,Marmelade,Marmelade,15288,HTI,19.52594979,-72.37286393
25699,Milot,Milot,15294,HTI,19.65422594,-72.21557552
25689,Miragoâne,Miragoâne,15291,HTI,18.37353618,-73.11758302
25656,Mirebalais,Mirebalais,15281,HTI,18.78680618,-72.07780802
25726,Môle Saint Nicholas,Môle Saint Nicholas,15303,HTI,19.77765784,-73.34511753
25721,Mombin Crochu,Mombin Crochu,15302,HTI,19.33823173,-71.89209311
25718,Mont-Organisé,Mont-Organisé,15301,HTI,19.39135702,-71.78197286
25669,Moron,Moron,15284,HTI,18.48098879,-74.27120053
25719,Ounaminthe,Ounaminthe,15301,HTI,19.50740307,-71.7709493
25711,Perches,Perches,15299,HTI,19.52051067,-71.93229613
25663,Pestel,Pestel,15283,HTI,18.49476419,-73.82809076
25749,Pétion-Ville,Pétionville,15310,HTI,18.48147055,-72.25147091
25688,Petit Trou de Nippes,Petit Trou de Nippes,15290,HTI,18.45375184,-73.52469389
25673,Petite Rivière de l'Artibonite,Petite Rivière de l'Artibonite,15285,HTI,19.07194028,-72.35388731
25690,Petite Rivière de Nippes,Petite-Rivière-de-Nippes,15291,HTI,18.45566668,-73.20072021
25744,Petit-Goâve,Petit-Goâve,15309,HTI,18.3759452,-72.93186724
25693,Pignon,Pignon,15292,HTI,19.32611655,-72.10411222
25706,Pilate,Pilate,15297,HTI,19.685242,-72.54277579
25700,Plaine du Nord,Plaine-du-Nord,15294,HTI,19.68217678,-72.26742518
25707,Plaisance,Plaisance,15297,HTI,19.59443157,-72.4760181
25739,Pointe-à-Raquette,Pointe-à-Raquette,15307,HTI,18.87507134,-73.15860632
25764,Port-à-Piment,Port-à-Piment,15314,HTI,18.29226278,-74.07276825
25750,Port-au-Prince,Port-au-Prince,15310,HTI,18.52771536,-72.33283907
25729,Port-de-Paix,Port-de-Paix,15304,HTI,19.85188954,-72.90673826
25694,Port-Margot,Port-Margot,15292,HTI,19.75383293,-72.46121273
25767,Port-Salut,Port-Salut,15315,HTI,18.12366691,-73.9105771
25703,Quartier Morin,Quartier-Morin,15295,HTI,19.68601254,-72.1667559
25695,Ranquitte,Ranquitte,15292,HTI,19.40164965,-72.05470784
25765,Roche-à-Bateau,Roche-à-Bateau,15314,HTI,18.19497795,-73.98014544
25664,Roseaux,Roseaux,15283,HTI,18.51670095,-74.04540544
25681,Saint Michel de l'Attalaye,Saint Michel de l'Attalaye,15288,HTI,19.34297582,-72.33584341
25714,Sainte Suzanne,Sainte Suzanne,15300,HTI,19.52373878,-72.06096953
25768,Saint-Jean du Sud,Saint-Jean du Sud,15315,HTI,18.05939364,-73.84325734
25732,Saint-Louis du Nord,Saint-Louis du Nord,15305,HTI,19.87896675,-72.70654688
25753,Saint-Louis du Sud,Saint-Louis du Sud,15311,HTI,18.28224262,-73.53442283
25683,Saint-Marc,Saint-Marc,15289,HTI,19.09836648,-72.68119632
25709,Saint-Saint-Raphaël,Saint-Raphaël,15298,HTI,19.40443947,-72.19014097
25657,Saut-d'Eau,Saut-d'Eau,15281,HTI,18.83231323,-72.23374562
25654,Savanette,Savanette,15280,HTI,18.74925174,-71.8366017
999999991,Tabarre,Tabarre,15310,HTI,19.2166667,-71.6833333
25676,Terre-Neuve,Terre-Neuve,15286,HTI,19.6099502,-72.79618635
25715,Terrier Rouge,Terrier Rouge,15300,HTI,19.63874409,-71.92472058
25775,Thiotte,Thiotte,15317,HTI,18.21680596,-71.84647972
25647,Thomasique,Thomassique,15278,HTI,19.08187057,-71.81523385
25737,Thomazeau,Thomazeau,15306,HTI,18.66312164,-72.12078224
25651,Thomonde,Thomonde,15279,HTI,19.0022672,-71.98883407
25762,Tiburon,Tiburon,15313,HTI,18.33846003,-74.32532295
25759,Torbeck,Torbect,15312,HTI,18.24347216,-73.88818857
25716,Trou du Nord,Trou du Nord,15300,HTI,19.58831384,-72.014027
25722,Vallières,Vallières,15302,HTI,19.44638679,-71.95168965
25684,Verettes,Verrettes,15289,HTI,19.02664803,-72.4875818
25712,Terrier,Terrier,15299,HTI,19.6434677,-71.76869654
25730,Water body,Water body,15304,HTI,19.8733504,-72.80292821
999999993,Chansolme,Chansolme,15304,HTI,19.95,-72.833333
999999994,Arnaud,Arnaud,15290,HTI,18.433,-73.617
999999995,Ferrier,Ferrier,15299,HIT,19.616667,-71.783333
999999996,Grand-Boucan,Grand-Boucan,88888881,HIT,18.55,-73.6
999999997,Paillant,Paillant,15291,HIT,18.417,-73.15
