ipc,numer_people_reached_target
AED-HT-10-001,
AED-HT-10-002,
AAH-HT-10-001,
AAH-HT-10-HAA1SB,216667
AAH-HT-10-HAA1T,31990
AAH-HT-10-HAA1U,108304
AAH-HT-10-HAB2SA,100000
AAH-HT-10-HAD3SC,120000
AAH-HT-10-HAF7SA,
AAH-HT-10-HAG1C,40000
AAH-HT-10-HAH0SC,85000
AAH-HT-10-HAH0SF,21630
AAH-HT-10-HAH0SG,
AAH-HT-10-HAH1A,
AAH-HT-10-HAZ3D,3360
ACAID-HT-10-001,1200
ACAID-HT-10-002,20000
ACAID-HT-10-003,2000
ACAID-HT-10-005,20000
ACAID-HT-10-006,360
ACAID-HT-10-007,2000
ACAID-HT-10-008,10000
ADRA-HT-10-001,100000
ADRA-HT-10-002,61000
ADRA-HT-10-003,51855
ADRA-HT-10-004,50000
ADRA-HT-10-005,9015
ADRA-HT-10-006,25000
ADRA-HT-10-007,10000
ADRA-HT-10-008,12500
ADRA-HT-10-009,6600
ADRA-HT-10-010,10565
ADRA-HT-10-011,4000
ADRA-HT-10-012,5000
ADRA-HT-10-013,702000
ADRA-HT-10-014,250000
ADRA-HT-10-015,110000
ADRA-HT-10-016,15000
ADRA-HT-10-017,1100
ADRA-HT-10-018,5000
ADRA-HT-10-019,7000
ADRA-HT-10-020,2000
ADRA-HT-10-021,1250
ADRA-HT-10-022,1200
HODR-HT-10-001,
HODR-HT-10-002,
HODR-HT-10-003,
HODR-HT-10-004,
HODR-HT-10-005,
HODR-HT-10-006,
HODR-HT-10-007,
HODR-HT-10-008,
AFSC-HT-10-001,
JDC-HT-10-001,2000
JDC-HT-10-002,30000
JDC-HT-10-003,150000
JDC-HT-10-004,4000
JDC-HT-10-005,1250
JDC-HT-10-006,6000
JDC-HT-10-007,600
JDC-HT-10-008,1500
AJWS-HT-10-002,25000
AJWS-HT-10-004,100
AJWS-HT-10-014,190000
AJWS-HT-10-015,7500
AJWS-HT-10-016,187000
AJWS-HT-10-018,80
AJWS-HT-10-021,15000
AJWS-HT-10-022,2500
AJWS-HT-10-023,15000
AJWS-HT-10-024,5000
AJWS-HT-10-025,15000
AJWS-HT-10-026,60
AJWS-HT-10-027,1000
AJWS-HT-10-029,14000
AJWS-HT-10-030,2000
AJWS-HT-10-031,7500
AJWS-HT-10-032,20000
ARCIS-HT-10-001,200000
ARCIS-HT-10-002,1200000
ARCIS-HT-10-003,1700000
ARCIS-HT-10-004,50000
ARCIS-HT-10-005,36682
ARCIS-HT-10-006,8000
ARCIS-HT-10-007,19500
ARCIS-HT-10-008,
ARCIS-HT-10-009,
ARCIS-HT-10-010,4000
ARCIS-HT-10-011,3850
ARCIS-HT-10-D1,
ARCIS-HT-10-DDR2A&B,300000
ARCIS-HT-10-DM01,
ARCIS-HT-10-DM02,
ARCIS-HT-10-DM03,345000
ARCIS-HT-10-DM04,1800000
ARCIS-HT-10-DR01&DR05,1000000
ARCIS-HT-10-DR02,
ARCIS-HT-10-H11,928241
ARCIS-HT-10-H1A,50000
ARCIS-HT-10-H2,552994
ARCIS-HT-10-H3,190000
ARCIS-HT-10-H4,3000
ARCIS-HT-10-H5,37902
ARCIS-HT-10-H6,
ARCIS-HT-10-HE06,27600
ARCIS-HT-10-IROC2,
ARCIS-HT-10-IROC3,
ARCIS-HT-10-L2A&B,220000
ARCIS-HT-10-L3,50000
ARCIS-HT-10-L4,5500
ARCIS-HT-10-L5,20000
ARCIS-HT-10-PE01,32000
ARCIS-HT-10-RC1,217000
ARCIS-HT-10-RC2,860000
ARCIS-HT-10-RC3,320000
ARCIS-HT-10-RC4A,85000
ARCIS-HT-10-RC4B,
ARCIS-HT-10-RC5A,150000
ARCIS-HT-10-S1,90000
ARCIS-HT-10-S2,14000
ARCIS-HT-10-S3,2500
ARCIS-HT-10-S5,7500
ARCIS-HT-10-S6,10000
ARCIS-HT-10-WS04.1,105000
ARCIS-HT-10-WS04.2,76067
ARCIS-HT-10-WS06,1000000
ARCIS-HT-10-WS1,5000
ARC-HT-10-001,
ARC-HT-10-002,
ARC-HT-10-003,
ARC-HT-10-004,
ARC-HT-10-005,
ARC-HT-10-006,
ARC-HT-10-007,
ACARE-HT-10-125-1009-100,
ACARE-HT-10-125-1009-201,2500000
ACARE-HT-10-125-1009-301,400
ACARE-HT-10-125-1009-400,2000
ACARE-HT-10-125-1009-401,1000
ACARE-HT-10-125-1009-501,4
ACARE-HT-10-125-1009-502,10000
ACARE-HT-10-125-1009-601,4736
ACARE-HT-10-125-1009-700,10000
ACARE-HT-10-125-1009-701,1000
ACARE-HT-10-125-1009-702,1148
ACARE-HT-10-125-1009-705,60000
ACARE-HT-10-125-1009-706,1500
ACARE-HT-10-125-1009-707,10
ADF-HT-10-001,19001
ADF-HT-10-002,500
ADF-HT-10-003,400
ADF-HT-10-004,5000
ADF-HT-10-005,4000
ADF-HT-10-006,3000
ADF-HT-10-007,2500
ADF-HT-10-008,110
AMURT-HT-10-001,5500
AMURT-HT-10-AMURTEL,2700
AMURT-HT-10-CFS CRS,2000
AMURT-HT-10-CFS-KNH 84051,2000
AMURT-HT-10-ERRF DMA 0369 056,5000
ARCH-HT-10-001,
ARCH-HT-10-002,
ARCH-HT-10-003,
ARCH-HT-10-004,
ARCH-HT-10-005,
ARCH-HT-10-006,
BWA-HT-10-001,
BWA-HT-10-002,
BWA-HT-10-003,
BWA-HT-10-004,
BRAC-HT-10-001,1500
BRAC-HT-10-002,387
BRAC-HT-10-003,200
BRAC-HT-10-004,1000
BBF-HT-10-001,
BBF-HT-10-002,
BBF-HT-10-003,
BBF-HT-10-004,
BBF-HT-10-005,
BBF-HT-10-006,
BBF-HT-10-007,
BBF-HT-10-008,
BBF-HT-10-009,
BBF-HT-10-010,
BBF-HT-10-011,
BBF-HT-10-012,
BBF-HT-10-013,
BBF-HT-10-014,
BBF-HT-10-015,
BBF-HT-10-016,
BBF-HT-10-017,
BBF-HT-10-018,
BBF-HT-10-019,
BBF-HT-10-020,
BBF-HT-10-021,
BBF-HT-10-022,
BBF-HT-10-023,
BBF-HT-10-024,
BBF-HT-10-025,
BBF-HT-10-026,
BBF-HT-10-027,
BBF-HT-10-028,
BBF-HT-10-029,
BBF-HT-10-030,
BBF-HT-10-031,
BBF-HT-10-032,
BBF-HT-10-033,
BBF-HT-10-034,
BBF-HT-10-035,
BBF-HT-10-036,
BBF-HT-10-037,
BBF-HT-10-038,
BBF-HT-10-039,
BBF-HT-10-040,
BBF-HT-10-041,
BBF-HT-10-042,
TZU-HT-10-TZHT-01,351
TZU-HT-10-TZHT-02,295
TZU-HT-10-TZHT-03,191
TZU-HT-10-TZHT-04,439
TZU-HT-10-TZHT-05,325
TZU-HT-10-TZHT-06,411
TZU-HT-10-TZHT-07,329
TZU-HT-10-TZHT-08,311
TZU-HT-10-TZHT-09,309
TZU-HT-10-TZHT-10,219
TZU-HT-10-TZHT-11,432
TZU-HT-10-TZHT-12,491
TZU-HT-10-TZHT-13,279
TZU-HT-10-TZHT-14,157
CARE-HT-10-001,
CARE-HT-10-002,
CARE-HT-10-003,
CARE-HT-10-004,
CARE-HT-10-005,
CARE-HT-10-006,
CARE-HT-10-007,
CARE-HT-10-008,
CARE-HT-10-009,
CRS-HT-10-7420087,900
CRS-HT-10-7420107,4800
CRS-HT-10-7420110,2475
CRS-HT-10-7420114,144060
CRS-HT-10-7420124,5000
CRS-HT-10-7420133,40000
CRS-HT-10-7420142,30563
CRS-HT-10-7420143,17625
CRS-HT-10-7420146,100000
CRS-HT-10-7420147,6000
CRS-HT-10-7420149/7420150,9814
CRS-HT-10-7420151,150
CRS-HT-10-7420153,125000
CRS-HT-10-7420155,4915
CRS-HT-10-7420201,1000000
CRS-HT-10-7420202,10000
CRS-HT-10-7420203,251170
CRS-HT-10-7420204,200000
CRS-HT-10-7420205,50000
CRS-HT-10-7420206,30081
CRS-HT-10-7420207,78291
CRS-HT-10-7424000,15000
CRS-HT-10-7425015/74205016/74205017-23,13600
CRS-HT-10-7430117,20
CHF-HT-10-001,
CHF-HT-10-002,
CBM-HT-10-001,
CBM-HT-10-002,1200
CBM-HT-10-003,2000
CBM-HT-10-004,
CBM-HT-10-005,
CBM-HT-10-006,2000
CBM-HT-10-007,
CBM-HT-10-008,
CBM-HT-10-009,
CRWRC-HT-10-OR 2010-17,9000
