Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Academy for Educational Development,1,AED-HT-10-001,Haiti Integrated Financing for Value Chains & Enterprises (HIFIVE) Program,"HIFIVE is USAID/Haiti’s next phase in a sequenced strategy to further develop the country’s financial services sector to promote employment generation, to improve livelihoods, and to boost the economy. HIFIVE’s activities will specifically focus on improving the availability of financial products and services to support the expansion of agricultural and other production and the access to financial products and services in rural and agricultural areas.

HIFIVE will improve the capacity of a core group of financial suppliers – namely strong microfinance institutions (MFIs), banks receiving Development Credit Authority (DCA) support, caisses populaires (credit cooperatives), and insurance companies to design and deliver appropriate financial products to value chain participants and other bankable enterprises involved in USAID’s other projects. Working with the financial institutions, technology providers and USAID’s other priority agricultural projects, HIFIVE will support the development of solutions that will expand the outreach of financial services to rural and agricultural zones.",,,1/1/2009,12/31/2012,,,,Economic Recovery and Development,,Academy for Educational Development,,US Agency for International Development (USAID),,  ,,,Haiti,,,,,,,,Sarah Mattingly,,smattingly@aed.org,http://www.aed.org,13-Dec-10,,
Academy for Educational Development,2,AED-HT-10-002,New Partners Initiative (NPI),"NPI provides technical assistance to strengthen the President's Emergency Plan for AIDS Relief/New Partners Initiative (PEPFAR/NPI) organizational capacity to effectively implement and monitor HIV/AIDS programs. AED provides technical assistance in the areas of HIV technical services, monitoring and evaluation, quality assurance, work plan development, target setting, reporting, finance, organizational development and working with the US government.",,,1/1/2007,12/31/2012,,,,Health,HIV/AIDS,Academy for Educational Development,,US Agency for International Development,,  ,,,Haiti,,,,,,,,David Hughes,,dhughes@aed.org,http://www.aed.org,13-Dec-10,,
Action Against Hunger,1,AAH-HT-10-001,,,"Identification et formation au dépistage de la malnutrition de travailleurs communautaires.                                                                              Formation des équipes EAH et sécurité alimentaire d’ACF au dépistage de la malnutrition                                                                                         Dépistage quotidien par les équipes d’Action contre la Faim ou les travailleurs communautaires                                                                    Capitalisation des informations contextuelles en sécurité alimentaire, eau et assainissement, santé et condition psychosociale et psychologique des familles                                                                                                                                                                                                                                          Partage avec le Cluster nutrition des résultats de dépistage et des informations contextuelles afin de participer à la surveillance nutritionnelles globale de la ville de Port-au-Prince                                                                                                                                       Enquête anthropologique sur les pratiques d’allaitement et d’alimentation du jeune enfant afin d’adapter au mieux les messages de sensibilisation                                                                                                                                                                                                                                                                                                                                                                          Activités de sensibilisation à l’allaitement, à la diversification alimentaire et pratiques de santé dans les centres nutritionnels ambulatoires : sessions d’éducation en groupes et/ou individuelles                                                                                                                          Continuité de la distribution de LANPE aux enfants de 0 à 12 mois, dans deux tentes de lait, jusqu’au 28 février 2011",,9/1/2010,8/31/2011,"$1,986,000","Health, Nutrition",,Health,,Action Against Hunger,,Private donations,,  ,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAA1SB,AAH-HT-10-HAA1SB,"Support à la livraison d’eau par camion dans l’aire métropolitaine de Port-au-Prince, Haiti",Fournir une eau potable de qualité aux populations affectées par le séisme via la reprise du service de livraison mis en place par la DINEPA.,"Suivi et gestion des contrats et bons de livraison de la flotte mise en place par la DINEPA                                                                                                                                            Coordination avec les partenaires lors des différents clusters municipaux et réunions ad hoc                                                                                                                                              Mise en place d’un cadre de réduction progressive de la livraison d’eau par camion, puis d’une flotte incompressible d’une quinzaine de camions pour les sites sans alternative.Support au cluster WaSH et à la DINEPA pour l’élaboration d’une stratégie commune de sortie de la livraison d’eau par camion.",,5/1/2010,12/31/2010,"$3,497,926",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Action Against Hunger,,ECHO,," 216,667 ",,,Haiti,,,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAA1T,AAH-HT-10-HAA1T,Accompagnement par une approche intégrée des populations les plus exposées à la malnutrition,"Améliorer la prévention de la malnutrition, l’accès et la qualité de la prise en charge des cas de malnutrition aiguë par une approche communautaire et institutionnelle des problématiques EAH, nutrition et psycho-socialeQ","3 PTA (K Soleil, Raboteau et consultation de l’hôpital de Secours) et 1 USN (hôpital de Secours) sont supportés sur la ville de Gonaïves, et préparés à l’autonomisation et 3 structures de santé (CDS) sont soutenues en Artibonite dans les zones sensibles et/ou vulnérables du Nord Artibonite (un centre de santé dans chacune des commune : Anse rouge, Ennery et L’Estére) 
 Mise en place d’une consultation psychologique pour le suivi des mères et des enfants malnutris : 

- Accompagnement à la mobilisation communautaire pour la mise en place des activités de prévention, de dépistage, et de référencement des enfants détectés malnutris
- Intégration et mise en place de système de référence entre les programmes VIH et les programmes de nutrition
- Organisations de consultation auprès de la population en grande difficulté psychologique pour leur permettre de mettre en route leur processus de résilience. 
30  puits ou forages équipés de pompes à motricité humaine sont rénovés et désinfectés dans la zone et délivrent une eau potable pour 500 utilisateurs maximum. 
- 5 réseaux gravitaires ou captages aménagés sont rénovés ou remis en service. 
- Visite en porte à porte et bilan sanitaire personnalisé. Proposition d’installation d’une pompe PVC, sensibilisation à l’hygiène et détection de la malnutrition. 
- Mise en place de comités d’assainissement de quartier pour produire et vendre des articles nécessaires à une amélioration des conditions d’hygiène : pompes PVC pour puits et forages et solution chlorée.",,1/8/2009,10/21/2010,"$89,322,830","Nutrition, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",,Action Against Hunger,,ECHO,," 31,990 ",,,Haiti,Artibonite,,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAA1U,AAH-HT-10-HAA1U,Renforcement des moyens et stocks d’urgence en prévision du risque cyclonique – Nord Ouest,"Améliorer le niveau de préparation et les capacités de réponse face aux risques de désastres naturels des populations de 10 localités des communes de La Tortue, Port de Paix,  Anse à Foleur et Saint-Louis du Nord.","Diagnostic, analyse de la vulnérabilité et des capacités dans chaque communauté : Enquête CAP, approches communautaires. 
Campagne de sensibilisation / information (médias, affiches, réunions…)
Mise en place d’un système d’alerte communautaire. 
Conduite d’exercices d’alerte communautaires. 
Création de 9 comités locaux de la Protection Civile et formation DPC. 
Redynamisation de 4 comités communaux (Tortue, Port de Paix, Anse à Foleur et Saint-Louis du Nord). 
Création de 3 brigades communales de volontaires sur Tortue, Anse à Foleur et Saint Louis. 
Rédaction des Plans d’action locaux (avec cartes de risques, organigrammes et emplacement des abris et accès aux stocks de contingence). 
Identification et sélection par les communautés des abris et choix des travaux à effectuer (latrines, accès à l’eau, cuisines…). 
Implémentation des travaux. 
Mise en place sur les 10 localités d’un système ad hoc de traitement et distribution d’eau potable en urgence. 
Mise en place sur les 3 communes dotées de brigades de volontaires de matériel de pompage et déblayage.",,11/25/2009,2/24/2011,"$601,129",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Action Against Hunger,,ECHO,," 108,304 ",,,Haiti,Nord-Ouest,"Port-de-Paix, Saint-Louis du Nord","Anse-à-Foleur, La Tortue, Port-de-Paix, Saint-Louis du Nord",,,,,,,,,01-Oct-10,,
Action Against Hunger,HAB2SA,AAH-HT-10-HAB2SA,Emergency Response to the Affected Population following the Earthquake in the area of Port-au-Prince,"The vital needs for drinking water and basic emergency sanitation facilities of affected population are covered, and their capacity to enforce satisfying basic hygiene practices have been enhanced. Immediate basics needs of affected households are covered through cash for work activities and cash grant distributions. Affected households have received support for shelter set-up through hygiene kits  and vouchers distribution.","Production of drinking water, use of emergency water treatment stations                                                                                                                                                                            Water transport to affected zones in water trucks or adapted vehicles 
Community distribution points through bladders, distribution ramps or containers 
Selection of 10,000 beneficiaries involved in CFW activities 
Distribution of tools to 10,000 CFW beneficiaries
Cleaning public area through cash for work
Selection of 5,000 beneficiaries involved in cash grants activities based on vulnerability criteria 
Distribution of cash grants to the 5,000 beneficiaries
Definition of what should be in the hygiene/tools kits
Definition of the beneficiaries selection criteria
Definition of the process and location of kits distribution
Selection of the households volunteering to share tool kits to clean their houses
Beneficiaries registration
Distribution of the various kits to 20,000 families
Post distribution monitoring",,1/13/2010,10/10/2010,"$2,000,000","Food Security and Agriculture, Water Sanitation and Hygiene",,Water Sanitation and Hygiene,,Action Against Hunger,,Office of Foreign Disaster Assistance (USAID/OFDA),," 100,000 ",,,Haiti,Ouest,,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAD3SC,AAH-HT-10-HAD3SC,Appuis aux populations sinistrées dans le cadre des urgences post – séisme.,"Fournir une eau de qualité par distribution par camion sur 40 points de distribution pour une durée de 2 mois sur Port-au-Prince (en complément des 4 mois déjà financés).

Fournir une eau de qualité par distribution par camion sur les zones de Léogane et Gressier pour une durée de 6 mois. Des stations de potabilisation sont déjà installées sur les sites de Léogane ville, Mercier (Commune de Léogane, section Grande Rivière) et Gréssier (centre ville). Le projet visera à étendre cette couverture vers Petit et Grand Goave.","75 000 personnes ont accès au water trucking pour une durée de 2 mois (l’objectif de couverture des besoins de 75 000 personnes pendant 6 mois est partagé entre plusieurs financements en cours). 
20 000 personnes sur le Champs de Mars, la Place Canapé Vert et alentours on accès à des latrines vidangées pendant 6 mois. 400 latrines sont construites. 
Des systèmes de ramassage des déchets solide (poubelles) et des locations de camions de ramassage sont mis en place sur les zones du Champs de Mars, Canapé Vert, Stade Silvio Cator, Croix de Prez. 
Evaluation des besoins dans les sections communales des  zones de Léogâne, Grand Goave, petit Goave.
20 000 personnes ont accès à une eau potable par le biais de deux réseaux urbains en partie ou totalement rénovés en partenariat avec la DINEPA (sites à affiner lors des évaluations mais a priori sur les communes de Léogane Centre et Grand Goaves). 
25 000 personnes ont accès à de l’eau potable par la rénovation de 100 forages équipés de pompe à motricité humaine. Ces forages sont réparés, désinfectés et remis en service. La zone ciblée concerne l’ensemble des sections rurales des communes de Léogane, Gressier, Petit Goave et Grand Goave. 
Un système de réparation des pompes à motricité humaine (plombiers et pièces détachées) est mis en route.                                     Des « référents techniques villageois » sont mis en place pour entretenir et réparer les pompes. 
Un système de monitoring et de surveillance de la qualité des eaux produites et distribuées à l’attention des populations déplacées et mis en place. 
20 rénovations de latrines dans des hôpitaux et des écoles.",,2/19/2010,1/18/2011,"$1,750,800",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Action Against Hunger,,UNICEF,," 120,000 ",,,Haiti,Ouest,"Léogâne, Port-au-Prince","Gressier, Léogâne",,,,,,,,,01-Oct-10,,
Action Against Hunger,HAF7SA,AAH-HT-10-HAF7SA,"Emergency response to the affected population following the earthquake of January 12th, 2010 in the area of Port-au-Prince, Haiti",,"Production of drinking water, use of emergency water treatment stations 
Water transport to affected zones in water trucks or adapted vehicles
Community distribution points with bladders, distribution ramps or containers
Rehabilitation/repair/equipment of existing facilities (boreholes, networks, wells, sources, reservoirs, etc.)
Provision of materials to the population for water transport and storage
Implementation of an emergency sanitation system
Implementation/construction/rehabilitation of sanitation facilities 
Collection and depositing of emptied sludge (pumping/tractors)
Collection of solid waste
Provision of family hygiene kits and recipients (in line with the “WASH cluster” sector coordination recommendations and adapted to the local context with the ACF’s knowledge of and experience in Haiti)
Provision of home-based water treatment systems (chlorine filters, etc.)
Hygiene education surrounding drinking water, sanitation and hand washing",,7/13/2010,12/31/2010,"$2,682,000","Food Security and Agriculture, Water Sanitation and Hygiene",,Water Sanitation and Hygiene,,Action Against Hunger,,Swedish International Development Cooperation Agency (SIDA),,  ,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAG1C,AAH-HT-10-HAG1C,"Réduction de l’impact des excrétas humains dans le département du Nord Ouest, République d’Haïti","Renforcer les capacités des acteurs et élus de 4 communes du département du Nord'Ouest à gérer l'eau potable et les excrétas humains, et à prévenir les maladies liées à l'eau et l'assainissement","Réalisation d’une etude anthropologique sur l’assainissement autonome et l’hygiène
Réalisation d’un état des lieux initial
Elaboration d’un plan IEC
Mise en oeuvre du plan IEC
Réalisation d’un état des lieux intermédiaire, evaluation et renforcement des activités IEC
Réalisation d’un état des lieux final",,9/1/2008,2/28/2011,"$343,388",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Action Against Hunger,,French Ministry of Foreign and European Affairs,," 40,000 ",,,Haiti,Nord-Ouest,,,,,,,,,,,01-Oct-10,,
