country_id,country_name,area_id,name,level,name 2,new_id_assigned,new_name,Latitude,Longitude,Edits,Level
,,51.0,BrÃ¤ndÃ¶,1.0,Ã…land Islands,,,,,Delete,1.0
,,52.0,EckerÃ¶,1.0,Ã…land Islands,,,,,Delete,1.0
,,54.0,FÃ¶glÃ¶,1.0,Ã…land Islands,,,,,Delete,1.0
,,53.0,FinstrÃ¶m,1.0,Ã…land Islands,,,,,Delete,1.0
,,55.0,Geta,1.0,Ã…land Islands,,,,,Delete,1.0
,,56.0,Hammarland,1.0,Ã…land Islands,,,,,Delete,1.0
,,57.0,Jomala,1.0,Ã…land Islands,,,,,Delete,1.0
,,58.0,KÃ¶kar,1.0,Ã…land Islands,,,,,Delete,1.0
,,59.0,Kumlinge,1.0,Ã…land Islands,,,,,Delete,1.0
,,60.0,Lemland,1.0,Ã…land Islands,,,,,Delete,1.0
,,61.0,Lumparland,1.0,Ã…land Islands,,,,,Delete,1.0
,,62.0,Mariehamn,1.0,Ã…land Islands,,,,,Delete,1.0
,,63.0,Saltvik,1.0,Ã…land Islands,,,,,Delete,1.0
,,64.0,Sottunga,1.0,Ã…land Islands,,,,,Delete,1.0
,,65.0,Sund,1.0,Ã…land Islands,,,,,Delete,1.0
,,66.0,VÃ¥rdÃ¶,1.0,Ã…land Islands,,,,,Delete,1.0
31.0,Afghanistan,1.0,Badakhshan,1.0,Afghanistan,,Badakhshan,,,,1.0
31.0,Afghanistan,2.0,Badghis,1.0,Afghanistan,,Badghis,,,,1.0
31.0,Afghanistan,3.0,Baghlan,1.0,Afghanistan,,Baghlan,,,,1.0
31.0,Afghanistan,4.0,Balkh,1.0,Afghanistan,,Balkh,,,,1.0
31.0,Afghanistan,5.0,Bamyan,1.0,Afghanistan,,Bamyan,,,,1.0
31.0,Afghanistan,3550.0,Daykundi,1.0,Afghanistan,,Daykundi,,,,1.0
31.0,Afghanistan,6.0,Farah,1.0,Afghanistan,,Farah,,,,1.0
31.0,Afghanistan,7.0,Faryab,1.0,Afghanistan,,Faryab,,,,1.0
